customer_id,Recency,Frequency,Monetary,Cluster,Segment
1,21,76,30750.0,2,High Value Loyal Customers
2,25,69,25295.0,2,High Value Loyal Customers
3,1,76,38440.0,2,High Value Loyal Customers
4,2,73,23580.0,2,High Value Loyal Customers
5,2,63,30405.0,2,High Value Loyal Customers
6,107,7,1625.0,3,New / Low Value Customers
7,41,7,1695.0,3,New / Low Value Customers
8,32,6,2330.0,3,New / Low Value Customers
9,64,6,2880.0,3,New / Low Value Customers
10,88,6,2450.0,3,New / Low Value Customers
11,2,5,5700.0,3,New / Low Value Customers
12,76,4,1640.0,3,New / Low Value Customers
13,10,9,3285.0,3,New / Low Value Customers
14,20,12,3990.0,3,New / Low Value Customers
15,111,12,2775.0,3,New / Low Value Customers
16,106,9,5145.0,3,New / Low Value Customers
17,436,4,1620.0,1,At Risk Customers
18,54,6,4090.0,3,New / Low Value Customers
19,78,7,3390.0,3,New / Low Value Customers
20,32,9,3625.0,3,New / Low Value Customers
21,71,9,4650.0,3,New / Low Value Customers
22,62,9,3755.0,3,New / Low Value Customers
23,156,7,845.0,3,New / Low Value Customers
24,84,10,3685.0,3,New / Low Value Customers
25,6,7,2205.0,3,New / Low Value Customers
26,113,11,2630.0,3,New / Low Value Customers
27,50,7,2450.0,3,New / Low Value Customers
28,166,7,5120.0,3,New / Low Value Customers
29,16,10,8455.0,0,Potential Loyal Customers
30,32,15,6860.0,0,Potential Loyal Customers
31,67,7,1235.0,3,New / Low Value Customers
32,47,14,7115.0,0,Potential Loyal Customers
33,8,8,1655.0,3,New / Low Value Customers
34,26,3,4100.0,3,New / Low Value Customers
35,31,6,2260.0,3,New / Low Value Customers
36,259,3,2990.0,1,At Risk Customers
37,183,9,6740.0,3,New / Low Value Customers
38,51,6,2660.0,3,New / Low Value Customers
39,18,8,2125.0,3,New / Low Value Customers
40,75,10,2425.0,3,New / Low Value Customers
41,87,10,4190.0,3,New / Low Value Customers
42,337,8,3565.0,1,At Risk Customers
43,3,5,3050.0,3,New / Low Value Customers
44,5,9,2645.0,3,New / Low Value Customers
45,401,3,3300.0,1,At Risk Customers
46,117,6,3780.0,3,New / Low Value Customers
47,55,5,2735.0,3,New / Low Value Customers
48,40,8,5870.0,3,New / Low Value Customers
49,109,7,3350.0,3,New / Low Value Customers
50,44,14,6480.0,0,Potential Loyal Customers
51,17,18,4795.0,0,Potential Loyal Customers
52,14,20,10325.0,0,Potential Loyal Customers
53,67,12,3695.0,3,New / Low Value Customers
54,57,21,13475.0,0,Potential Loyal Customers
55,15,17,12080.0,0,Potential Loyal Customers
56,2,21,8460.0,0,Potential Loyal Customers
57,7,14,6060.0,0,Potential Loyal Customers
58,36,15,2985.0,3,New / Low Value Customers
59,18,14,6385.0,0,Potential Loyal Customers
60,22,14,7300.0,0,Potential Loyal Customers
61,13,23,9860.0,0,Potential Loyal Customers
62,40,15,8565.0,0,Potential Loyal Customers
63,85,14,7480.0,0,Potential Loyal Customers
64,2,16,6945.0,0,Potential Loyal Customers
65,32,12,9320.0,0,Potential Loyal Customers
66,9,17,6915.0,0,Potential Loyal Customers
67,58,11,10225.0,0,Potential Loyal Customers
68,27,18,8005.0,0,Potential Loyal Customers
69,50,12,2215.0,3,New / Low Value Customers
70,8,19,7040.0,0,Potential Loyal Customers
71,10,19,12790.0,0,Potential Loyal Customers
72,22,18,7485.0,0,Potential Loyal Customers
73,54,10,5620.0,3,New / Low Value Customers
74,14,14,4025.0,3,New / Low Value Customers
75,20,14,9290.0,0,Potential Loyal Customers
76,7,20,11235.0,0,Potential Loyal Customers
77,223,14,5755.0,1,At Risk Customers
78,15,17,2235.0,3,New / Low Value Customers
79,50,14,6650.0,0,Potential Loyal Customers
80,20,11,7130.0,0,Potential Loyal Customers
81,10,14,7570.0,0,Potential Loyal Customers
82,22,16,9360.0,0,Potential Loyal Customers
83,35,11,9160.0,0,Potential Loyal Customers
84,12,18,11730.0,0,Potential Loyal Customers
85,13,22,8590.0,0,Potential Loyal Customers
86,3,19,10085.0,0,Potential Loyal Customers
87,11,25,15855.0,0,Potential Loyal Customers
88,98,15,2790.0,3,New / Low Value Customers
89,49,13,4130.0,3,New / Low Value Customers
90,59,14,8715.0,0,Potential Loyal Customers
91,13,16,9965.0,0,Potential Loyal Customers
92,3,15,4955.0,0,Potential Loyal Customers
93,15,18,6000.0,0,Potential Loyal Customers
94,2,12,6930.0,0,Potential Loyal Customers
95,62,15,4815.0,3,New / Low Value Customers
96,65,15,5800.0,0,Potential Loyal Customers
97,110,10,3750.0,3,New / Low Value Customers
98,85,14,7535.0,0,Potential Loyal Customers
99,5,15,8395.0,0,Potential Loyal Customers
100,4,7,3875.0,3,New / Low Value Customers
101,6,14,6805.0,0,Potential Loyal Customers
102,10,15,4065.0,3,New / Low Value Customers
103,74,12,3470.0,3,New / Low Value Customers
104,41,18,7520.0,0,Potential Loyal Customers
105,7,17,7345.0,0,Potential Loyal Customers
106,12,13,7180.0,0,Potential Loyal Customers
107,31,13,4720.0,3,New / Low Value Customers
108,13,15,7685.0,0,Potential Loyal Customers
109,3,18,7680.0,0,Potential Loyal Customers
110,13,19,8570.0,0,Potential Loyal Customers
111,19,14,9845.0,0,Potential Loyal Customers
112,20,11,7975.0,0,Potential Loyal Customers
113,7,13,9085.0,0,Potential Loyal Customers
114,12,15,6820.0,0,Potential Loyal Customers
115,54,10,5450.0,3,New / Low Value Customers
116,82,15,6145.0,0,Potential Loyal Customers
117,2,10,5200.0,3,New / Low Value Customers
118,9,6,640.0,3,New / Low Value Customers
119,53,8,5300.0,3,New / Low Value Customers
120,46,9,2900.0,3,New / Low Value Customers
121,86,8,2980.0,3,New / Low Value Customers
122,20,9,3310.0,3,New / Low Value Customers
123,367,2,200.0,1,At Risk Customers
124,49,5,1625.0,3,New / Low Value Customers
125,102,5,1900.0,3,New / Low Value Customers
126,114,5,2710.0,3,New / Low Value Customers
127,1,8,2740.0,3,New / Low Value Customers
128,687,2,1100.0,1,At Risk Customers
129,406,5,1910.0,1,At Risk Customers
130,51,10,7485.0,0,Potential Loyal Customers
131,20,8,4435.0,3,New / Low Value Customers
132,28,11,2265.0,3,New / Low Value Customers
133,65,4,2380.0,3,New / Low Value Customers
134,32,10,4320.0,3,New / Low Value Customers
135,32,5,3140.0,3,New / Low Value Customers
136,299,7,2490.0,1,At Risk Customers
